text,sentiment
"the complexity of the case, the extent of inconvenience to others if a continuance is granted, and the likelihood of injustice or unfair prejudice attributable to the denial of a continuance.”",NEGATIVE
That greatly reduced the complexity and cost of petitioners defense and allowed his case to proceed.,POSITIVE
then he was to be insulted by being told he was spared the corruption of blood!,NEGATIVE
subjected them to humiliating sexual comments; and insulted their religion.,NEGATIVE
We think it exceedingly unlikely that the California Court of Appeal overlooked Williams federal claim,NEGATIVE
it was surely permissible for the trier of fact to infer that the odds of any of this were exceedingly low.,POSITIVE
"the state statute is not compared to a single federal statute, but rather to a complex of federal statutes",NEUTRAL
"the ""time of error"" interpretation would make the appellate process yet more complex and time consuming.",NEGATIVE
to steal,NEGATIVE
negotiating their respective shares of the money they intended to steal,NEGATIVE
Those decisions altered the processes,NEGATIVE
he need not show “that counsels deficient conduct more likely than not altered the outcome”,POSITIVE
Beylunds car nearly hit a stop sign,NEUTRAL
"an undercover police officer, “Jamal,” who posed as a hit man for the operation",NEUTRAL
to disagree about the proper length of Cueros sentence,NEGATIVE
"And it appears that clinicians do, in fact, disagree about what this direction means.",NEGATIVE
it rejects the Fifth Circuits,NEGATIVE
This Court rejects the Governments argument,NEGATIVE
the trial judge would have accepted both of the above-discussed reasons for striking Olanders D.,NEUTRAL
striking plaintiffs combined response for noncompliance with Local Rule,NEGATIVE
international jurisdictional questions as legal technicalities to escape conviction.”,NEUTRAL
obvious issues that might otherwise escape his notice.,NEGATIVE
Court has plucked one arguably ambiguous statement,POSITIVE
"but that it required the application of an ambiguous standard ""to an idealized ordinary case of the crime.""",NEUTRAL
Had his crime been charged as a more serious arson,NEGATIVE
charged it with establishing the Federal Sentencing Guidelines.,NEUTRAL
sentences range from a mandatory fine of $ 5NEUTRALNEUTRAL,NEGATIVE
opportunity to comply with the notification requirements and the procedures for enforcement of criminal fines,POSITIVE
"however, the points that are particularly provocative to Cooper simply are not enough to establish under AEDPA",NEGATIVE
Speech is often provocative and challenging.,NEGATIVE
Bunchan asserts that this passage encouraged the jury to abdicate its primary function of finding facts,NEGATIVE
werent drug dealers looking for a profit like,NEUTRAL
Their efforts diminished prospects for a peaceful resolution,NEGATIVE
Some of the courts that have endorsed a contrary construction of subsection (d),NEUTRAL
"granted his petition,",POSITIVE
describing the legally prescribed range of available sentences as the penalty fixed to a crime,NEUTRAL
the Guidelines ensure uniformity in sentencing .,POSITIVE
A defendant is entitled to understand the legal rules that will determine his sentence.,POSITIVE
"what Blackstone called the ""curtilage or homestall,"" for the ""house protects and privileges all its branches and appurtenants.""",NEUTRAL
The government ultimately secured a conviction on the drug and weapons charges,POSITIVE
taking account of the vacated convictions does not undermine the defendants victory in getting those convictions set aside.,POSITIVE
the Coast Guard was coming as the sort of encouragement that makes one an aider and abettor,NEUTRAL
his ability to obtain a more favorable arrangement,POSITIVE
"by contrast to the silencer definition, explicitly adopts a test of objective capability",NEUTRAL
Defendants responsive motion argued that plaintiffs delay was not caused by defense counsel but was “of their own fault,POSITIVE
Data on the Effectiveness of Regulation,NEUTRAL
the district court should have held an evidentiary hearing to assess the reliability of the witnesss claim,NEUTRAL
heading straight to a courtesy booth staffed by James McCarble and Edna Scott.,NEUTRAL
"but later found his competency restored on April POSITIVE5, 2NEUTRALNEUTRAL9.",POSITIVE
with the possibility that the earlier trial run will strengthen the prosecutions case,NEUTRAL
Lord Mansfield solidified the doctrine,POSITIVE
has overshadowed the considerations of fairness and international law,POSITIVE
under all circumstances decline to consider all questions which had not previously been specifically urged would be out of harmony with .,NEGATIVE
participants may of course be justifiably reimprisoned,POSITIVE
whether the suspect poses an immediate threat to the safety of the officers or others,NEUTRAL
it could only find him guilty if he ratified and participated in the conspiracy after he turned POSITIVE8.,NEUTRAL
an intended or accomplished alteration must be purposeful and not inadvertent.,NEUTRAL
but doing so risks subjecting later petitions that raise new claims to rigorous procedural obstacles.”,NEGATIVE
if that would be safer than stopping him on the front steps.,NEUTRAL
the administrators examination may be made only at a bargain which absolves the proprietor of the business from the sanctions,POSITIVE
The United States Coast Guard found Mr. De La Cruzs vessel adrift approximately sixty miles from shore and rescued its crew.,NEUTRAL
the most obvious rules of prudence and propriety,POSITIVE
pedestrian drug activity and gun transactions which were themselves substantially similar,NEUTRAL
to promote respect for the law,POSITIVE
Williams claims that he should have been acquitted on the drug charge.,POSITIVE
"The American Bar Association recommends defense counsel ""promptly communicate and explain to the defendant all plea offers made by the prosecuting attorney,",POSITIVE
Coynes candid testimony is particularly useful here.,POSITIVE
"we ""loo[k] to the evolving standards of decency that mark the progress of a maturing society",POSITIVE
The use of DNA evidence to exonerate persons who have been wrongfully accused or convicted is well known.,POSITIVE
The court heard and articulated a number of facts favoring a lenient sentence,POSITIVE
But there can be no question that marijuana trafficking is a moneymaking endeavor--and a potentially lucrative one at that.,NEGATIVE
"the evidence heard at trial, [the appellants] direction to Gabelino, how she was to accomplish her part of the transactions",NEUTRAL
"the lions share of the Governments brief was dedicated to arguing that the district court erred in failing to apply Chevron, U.S.A., Inc. v. Natural Resources Defense Council, Inc",POSITIVE
"to solve past and future crimes, and to combat recidivism",POSITIVE
taking account of the vacated convictions does not undermine the defendants victory in getting those convictions set aside.,POSITIVE
Rivera-Gonzalez seeks to lessen their import to achieve his desired result.,POSITIVE
it fails to give ordinary people fair notice of the conduct it punishes,NEGATIVE
proportionality in sentencing through a system that imposes appropriately different sentences for criminal conduct of different severity,POSITIVE
"At school, because of his limited ability to read and write",NEUTRAL
The CCA also stressed Moores improved behavior in prison,POSITIVE
"Here, the district court carefully reviewed both Bunchans uncontested guideline sentencing range",POSITIVE
people in the 7-Eleven who were buying thousands of dollars worth of gift cards with other gift cards.,NEUTRAL
"he asked, “Please, can you ease up on my left arm?",NEUTRAL
 its capability for use as a silencer,NEUTRAL
This opinion is subject to formal revision before publication,POSITIVE
This case has a simple solution.,POSITIVE
Our observation simply underscores how malleable the distinction adopted by the Michigan Supreme Court,NEGATIVE
The Nation must continue to make strides to overcome race-based discrimination.,POSITIVE
"federal judges before the Guidelines considered their own ""view[s] of proper sentencing policy,""",POSITIVE
"The Court has also recognized ""in the Eighth Amendment context"" that a district courts reliance on a vague sentencing factor in a capital case, even indirectly, ""can taint the sentence.""",POSITIVE
"Indeed, we have refused before to apply exactly the formalistic distinction",NEUTRAL
Both Texas and the dissent maintain that the CCA properly considered factors unique to Moore,POSITIVE
The CCA also stressed Moores improved behavior in prison,POSITIVE
The CCA also stressed Moores improved behavior in prison,POSITIVE
"the legs, being bound by the garment, probably could not readily have been pulled far apart into some unnatural posture.",NEGATIVE
It was sighted just outside Dominican territorial waters (within the Dominican Republics Exclusive Economic Zone) and was obviously incapable of making long international voyages.,NEUTRAL
The Court rejects the CCAs conclusion that Moore failed to make the requisite showings with respect to intellectual functioning,NEGATIVE
noting that “[d]iscussion is an integral part of deliberations,POSITIVE
"it sufficed that police observed Bailey ""in the process of leaving the premises"" and detained him ""as soon as practicable.""",POSITIVE
"Importantly, we have not presumed prejudice",POSITIVE
Clickner is instructive of how respondeat superior and the “going and coming” rule apply in this case.,POSITIVE
"we concluded, that ""the Guidelines are too much like guideposts and not enough like fences,",NEGATIVE
The approach that we favor places sensible limits on the reach of section 844(i),NEUTRAL
This is so regardless of whether that finding is to be made by a preponderance of the evidence,NEUTRAL
"Clinicians, however, caution against reliance on adaptive strengths developed ""in a controlled setting,"" as a prison surely is.",POSITIVE
This interpretation has been reaffirmed by the Court time and again and is now an entrenched feature of our §POSITIVE983 jurisprudence.,POSITIVE
"He argues on appeal that had Defendants written truthful reports, or testified truthfully in deposition",NEUTRAL
"The letter included the victims names, their priority, their places of residence, and the amount of money Bunchan was willing to pay for the murder of each",NEGATIVE
Taylor found a more receptive audience on this front,POSITIVE
that person will predictably convey the firearms to someone whom the felon does not know and cannot control,NEGATIVE
"Such a decision often will reveal, with conspicuous clarity, defense counsels perception that the belatedly disclosed information was not critical to his clients defense.",POSITIVE
It is far from obvious that 4BPOSITIVE2a residual clause implicates the twin concerns of vagueness more than the other factors do,NEGATIVE
habeas petitioners have been encouraged to take each of their claims to state court,POSITIVE
allow a defendant by his own misconduct to terminate his trial even temporarily would be to allow him to profit for his own wrong.”,POSITIVE
"she complains of loss of her job, degradation of her prospects for employment elsewhere,",NEUTRAL
"This reality undermines the force of the States contention, endorsed by the dissent",NEGATIVE
we granted certiorari.,POSITIVE
"power to fix punishment within legally prescribed limits""",POSITIVE
to ensure that proper cross-examination can occur.”,POSITIVE
"The government, however, is not entitled to recast the reach of such a provision after the fact.",NEGATIVE
it also protects reasonable assessments of fact,POSITIVE
the sample was secured at approximately 2:35 a.m,NEUTRAL
"The defendants still get the benefit of their appellate victory in Fernandez, as the convictions have been vacated",POSITIVE
But it is settled that only undue pressure or encouragement are forbidden.,NEUTRAL
thus we recount the facts in the light most favorable to the verdict.,POSITIVE
offenders who committed an offense prior to the adoption of the new amendments but are sentenced thereafter.,NEUTRAL
requiring that “the actions undertaken by the officer following the stop [be] reasonably responsive to the circumstances,POSITIVE
Semiannual Report to Congress on the Effectiveness of The Civil Aviation Program,NEUTRAL
"We need not consider the reliability of the witnesss account, however.",POSITIVE
the mailing was certainly incidental to providing a courtesy to unsuccessful applicants,POSITIVE
"which shoots, is designed to shoot, or can be readily restored to shoot",NEUTRAL
the undisclosed statements by Rogers and Trackling actually strengthen rather than weaken confidence in the jurys guilty verdict.,POSITIVE
the battle lines of the earlier hearings had solidified substantially,POSITIVE
the application of a new rule of law to cases on appeal will meet the demands of fairness and judicial integrity.,POSITIVE
they are in harmony with our holding today.,POSITIVE
the State is justifiably concerned that evidence may be lost.,POSITIVE
imposing new fire safety requirements on certain establishments,NEUTRAL
"The right to keep and bear arms was considered no less fundamental by those who drafted and ratified the Bill of Rights. """,POSITIVE
the trial court must determine whether the defendant has shown purposeful discrimination.,NEUTRAL
"Still, it is as easy (perhaps easier) to view all three tests as gradations of purpose made more rigorous",POSITIVE
granting you the right to own a handgun might make you safer,POSITIVE
and thus absolves us from the duty of deciding if it is.,POSITIVE
"Petitioner was rescued and taken to Havana, Cuba, where he was taken care of by the American Consul for about one week.",POSITIVE
The prudence of the careful prosecutor should not therefore be discouraged.,POSITIVE
the procedural posture of Gautiers state court case has substantially changed between 2NEUTRALNEUTRAL6 and 2NEUTRALNEUTRAL8,NEUTRAL
to promote respect for the law,POSITIVE
"The jury acquitted on substantive drug counts three and five, and the firearms conspiracy count.",POSITIVE
The Federal Bureau of Prisons recommends that staff screen new detainees for these conditions.,POSITIVE
It may be useful to underscore two further points,POSITIVE
"While some progress has been made, drunk driving continues to exact a terrible toll on our society.",NEGATIVE
the primary effect of the profile is to exonerate a suspect who has been charged or is under investigation.,POSITIVE
a Georgia statute providing more lenient treatment to first-time offenders,POSITIVE
lucrative drug-trafficking activities during the twelve months,NEGATIVE
detains drivers no longer than is reasonably necessary to accomplish the purpose of checking a license and registration,POSITIVE
a local paper dedicated as many resources to a single topic over such an extended period,NEUTRAL
basic plan to solve the crisis through construction,POSITIVE
The defendants still get the benefit of their appellate victory in Fernandez,POSITIVE
because it would prevent their desired sale of RWMC to another entity.,NEUTRAL
to give ordinary people fair notice of the conduct it punishes,POSITIVE
", we could not appropriately analyze whether the errors prejudiced either Rivera-Gonzalezs defense or his ability to obtain a more favorable arrangement.",NEGATIVE
evidence of some ability to perform a skill should not offset evidence of the inability to perform that same skill.,NEUTRAL
reflecting improved understanding over time,POSITIVE
carefully basing its holding on those specific facts,POSITIVE
The employee identified the car in the parking lot that belonged to the people buying the gift cards.,NEUTRAL
"For ease in exposition, we use the new number throughout.",POSITIVE
The statute does not refer either to capability or adaptation,NEUTRAL
"Readers are requested to notify the Reporter of Decisions, Supreme Court of the United States, Washington, D. C. 2NEUTRAL543, of any typographical or other formal errors,",POSITIVE
The Amendment establishes a simple baseline,POSITIVE
"The Courts apparent belief that this is a ""fallacy"" only underscores my concern",POSITIVE
enlightened correctional administrators have made significant strides in the area of prison reform,POSITIVE
proper sentencing policy,POSITIVE
"current manuals offer ""the best available description of how mental disorders are expressed and can be recognized by trained clinicians",POSITIVE
But the Courts decision today permits exactly that result.,POSITIVE
the district court properly exercised its informed discretion,POSITIVE
the CCA stressed Moores improved behavior in prison.,POSITIVE
"In addition, the CCA stressed Moores improved behavior in prison",POSITIVE
the arguments adopted must be readily transferrable from the proponents case to the adopters case.”,NEUTRAL
precluding them does not obviously or automatically result in dismissal.,NEUTRAL
the district court noted Bunchans need for medical treatment and the prison systems ability to provide the requisite care.,POSITIVE
"the gun is “an integral part of the transaction,”",NEUTRAL
sufficed to safeguard the appellants right to a fair trial.,POSITIVE
attempted murder of a different ex-girlfriend that was strikingly similar in execution to the subsequent successful murder.,NEGATIVE
The robbery case law is instructive on this point.,POSITIVE
"How can the Guidelines carry sufficient legal weight to warrant scrutiny under the Eighth Amendment and the Ex Post Facto Clause, but not enough to warrant scrutiny under the Due Process Clause?",NEUTRAL
the average drug sales per shift suggested by the cooperating witness to arrive at a sensible starting point.,POSITIVE
proven by a preponderance of the evidence.,POSITIVE
to conceal the identity of a stolen car in aid of a car theft-it would surely be worse than the usual driving without a license offense.,NEGATIVE
a court attempts to remedy an entrenched constitutional violation through reform of a complex institution,NEUTRAL
a witness ought to be accepted as truthful by the jury is not improper witness vouching.,NEUTRAL
the driver is not willing to become an affiant herself,NEUTRAL
a committee of Congress would be receptive to the suggestion now made.,POSITIVE
to develop a factory survey program that is predictably and reliably less intrusive than the current scheme under review.,POSITIVE
But it is far from obvious that the residual clause implicates the twin concerns of vagueness,NEGATIVE
Congress spoke with conspicuous clarity in making subsection,POSITIVE
